Symbol,Inside Bar,Double top/bottom,Head and Shoulders,VShape
NSE:DMART-EQ,2,0,0,0
NSE:DOMS-EQ,1,0,0,0
NSE:DRREDDY-EQ,1,0,0,0
NSE:EASEMYTRIP-EQ,0,0,0,0
NSE:EICHERMOT-EQ,1,0,0,0
NSE:EIDPARRY-EQ,0,0,0,0
NSE:EIHOTEL-EQ,1,0,0,0
NSE:ELECON-EQ,0,0,0,0
NSE:ELGIEQUIP-EQ,0,0,0,0
NSE:EMAMILTD-EQ,2,0,0,0
NSE:ENDURANCE-EQ,1,0,0,0
NSE:ENGINERSIN-EQ,0,0,0,0
NSE:EPL-EQ,0,0,0,0
NSE:EQUITASBNK-EQ,2,0,0,0
NSE:ERIS-EQ,1,0,0,0
NSE:ESCORTS-EQ,0,0,0,0
NSE:EXIDEIND-EQ,0,0,0,0
NSE:FACT-EQ,0,0,0,0
NSE:FDC-EQ,0,0,0,0
NSE:FEDERALBNK-EQ,0,0,0,0
NSE:FINCABLES-EQ,1,0,0,1
NSE:FINEORG-EQ,2,0,0,0
NSE:FINNIFTY-INDEX,1,0,0,0
NSE:FINPIPE-EQ,2,0,0,0
NSE:FIVESTAR-EQ,0,0,0,0
NSE:FLUOROCHEM-EQ,1,0,0,0
NSE:FORTIS-EQ,0,0,0,0
NSE:FSL-EQ,2,0,0,0
NSE:GAEL-EQ,0,0,0,0
NSE:GAIL-EQ,0,0,0,0
NSE:GESHIP-EQ,1,0,0,1
NSE:GICRE-EQ,1,0,0,0
NSE:GILLETTE-EQ,1,1,0,0
NSE:GLAND-EQ,0,0,0,1
NSE:GLAXO-EQ,0,0,0,0
NSE:GLENMARK-EQ,0,0,0,0
NSE:GLS-EQ,0,0,0,0
NSE:GMDCLTD-EQ,1,0,0,0
NSE:GMMPFAUDLR-EQ,0,0,0,0
NSE:GMRINFRA-EQ,0,0,0,0
NSE:GNFC-EQ,0,0,0,0
NSE:GODFRYPHLP-EQ,0,0,0,0
NSE:GODREJCP-EQ,0,0,0,0
NSE:GODREJIND-EQ,1,0,0,0
NSE:GODREJPROP-EQ,1,0,0,0
NSE:GPIL-EQ,0,0,0,0
NSE:GPPL-EQ,0,0,0,0
NSE:GRANULES-EQ,0,0,0,0
NSE:GRAPHITE-EQ,0,0,0,0
NSE:GRASIM-EQ,1,0,0,0
NSE:GRINDWELL-EQ,1,0,0,0
NSE:GRSE-EQ,0,0,0,0
NSE:GSFC-EQ,0,0,0,0
NSE:GSPL-EQ,0,0,0,0
NSE:GUJGASLTD-EQ,3,0,1,0
NSE:HAL-EQ,0,0,0,0
NSE:HAPPSTMNDS-EQ,1,0,0,0
NSE:HATSUN-EQ,1,0,0,0
NSE:HAVELLS-EQ,1,0,0,0
NSE:HBLPOWER-EQ,0,0,0,0
NSE:HCLTECH-EQ,0,0,0,1
NSE:HDFCAMC-EQ,0,0,0,0
NSE:HDFCBANK-EQ,0,0,0,0
NSE:HDFCLIFE-EQ,2,0,1,0
NSE:HEG-EQ,2,0,0,0
NSE:HEROMOTOCO-EQ,0,0,0,0
NSE:HFCL-EQ,0,0,0,0
NSE:HGS-EQ,2,0,0,0
NSE:HINDALCO-EQ,0,0,0,0
NSE:HINDCOPPER-EQ,1,0,0,0
NSE:HINDPETRO-EQ,2,0,0,0
NSE:HINDUNILVR-EQ,0,0,0,2
NSE:HINDZINC-EQ,0,0,0,0
NSE:HLEGLAS-EQ,1,0,0,0
NSE:HONAUT-EQ,1,0,0,0
NSE:HUDCO-EQ,0,0,0,0
NSE:ICICIBANK-EQ,0,0,0,0
NSE:ICICIGI-EQ,1,0,0,0
NSE:ICICIPRULI-EQ,0,0,0,0
NSE:IDBI-EQ,1,0,0,0
NSE:IDEA-EQ,0,0,0,0
NSE:IDFC-EQ,0,0,0,0
NSE:IDFCFIRSTB-EQ,1,0,0,0
NSE:IEX-EQ,1,0,0,0
NSE:IGL-EQ,0,0,0,0
NSE:IIFL-EQ,0,0,0,0
NSE:IIFLSEC-EQ,0,0,0,0
NSE:INDHOTEL-EQ,0,0,0,0
NSE:INDIAMART-EQ,0,0,0,0
NSE:INDIANB-EQ,0,0,0,0
NSE:INDIGO-EQ,0,0,0,0
NSE:INDIGOPNTS-EQ,0,0,0,0
NSE:INDOCO-EQ,1,0,0,0
NSE:INDUSINDBK-EQ,0,0,0,0
NSE:INDUSTOWER-EQ,0,0,0,0
NSE:INFIBEAM-EQ,0,0,0,0
NSE:INFY-EQ,1,0,0,0
NSE:INGERRAND-EQ,1,0,0,0
NSE:INOXGREEN-EQ,2,0,0,0
NSE:INOXWIND-EQ,0,0,0,0
NSE:INTELLECT-EQ,1,0,0,0
NSE:IOB-EQ,2,0,0,0
NSE:IOC-EQ,1,0,0,0
NSE:IPCALAB-EQ,1,0,0,1
NSE:IRB-EQ,0,0,0,0
NSE:IRCTC-EQ,0,0,0,0
NSE:IRFC-EQ,0,0,0,0
NSE:ISEC-EQ,1,0,0,0
NSE:ITC-EQ,0,0,0,0
NSE:ITI-EQ,0,0,0,0
NSE:JAMNAAUTO-EQ,1,0,0,0
NSE:JBCHEPHARM-EQ,1,0,0,0
NSE:JCHAC-EQ,1,0,1,0
NSE:JINDALSAW-EQ,1,0,0,0
NSE:JINDALSTEL-EQ,0,1,0,0
NSE:JIOFIN-EQ,4,0,0,0
NSE:JKCEMENT-EQ,0,0,0,0
NSE:JKIL-EQ,0,0,0,0
NSE:JKLAKSHMI-EQ,2,0,0,0
NSE:JKPAPER-EQ,1,0,0,0
NSE:JSL-EQ,0,0,0,0
NSE:JSWENERGY-EQ,0,0,0,0
NSE:JSWINFRA-EQ,0,0,0,0
NSE:JSWSTEEL-EQ,1,0,0,0
NSE:JTEKTINDIA-EQ,1,0,0,0
NSE:JUBLFOOD-EQ,0,0,0,0
NSE:JUBLPHARMA-EQ,0,0,0,1
NSE:JUSTDIAL-EQ,0,0,0,0
NSE:KALYANKJIL-EQ,0,0,0,0
NSE:KANSAINER-EQ,1,0,0,0
NSE:KARURVYSYA-EQ,0,0,0,0
NSE:KAYNES-EQ,1,0,0,0
NSE:KEC-EQ,0,0,0,1
NSE:KIMS-EQ,2,0,0,0
NSE:KIRLOSENG-EQ,0,0,0,0
NSE:KIRLOSIND-EQ,2,0,0,1
NSE:KNRCON-EQ,0,0,0,0
NSE:KOLTEPATIL-EQ,0,0,0,0
NSE:KOPRAN-EQ,0,0,0,0
NSE:KOTAKBANK-EQ,0,0,0,0
NSE:KPIGREEN-EQ,3,0,0,0
NSE:KPITTECH-EQ,0,0,0,0
NSE:KPRMILL-EQ,1,0,0,0
NSE:KRBL-EQ,0,0,0,0
NSE:KSB-EQ,0,0,0,0
NSE:LALPATHLAB-EQ,0,0,0,1
NSE:LAOPALA-EQ,0,0,0,0
NSE:LAURUSLABS-EQ,0,0,0,0
NSE:LAXMIMACH-EQ,0,0,0,0
NSE:LEMONTREE-EQ,1,0,0,0
NSE:LICHSGFIN-EQ,1,0,0,0
NSE:LICI-EQ,0,0,0,0
NSE:LINC-EQ,1,0,0,0
NSE:LODHA-EQ,0,0,0,1
NSE:LT-EQ,0,1,0,1
NSE:LTF-EQ,0,0,0,0
NSE:LTIM-EQ,1,0,0,1
NSE:LTTS-EQ,0,0,0,0
NSE:LUMAXIND-EQ,1,0,0,0
NSE:LUMAXTECH-EQ,0,0,0,0
NSE:LUPIN-EQ,0,0,0,0
NSE:M-M-EQ,0,0,0,0
NSE:M-MFIN-EQ,0,0,0,0
NSE:MAHABANK-EQ,1,0,0,0
NSE:MAHSCOOTER-EQ,3,0,0,0
NSE:MANINDS-EQ,0,0,0,0
NSE:MANKIND-EQ,0,0,0,0
NSE:MAPMYINDIA-EQ,1,0,0,0
NSE:MARATHON-EQ,3,0,0,0
NSE:MARICO-EQ,3,0,0,0
NSE:MARKSANS-EQ,3,0,0,0
NSE:MARUTI-EQ,0,0,0,0
NSE:MASFIN-EQ,4,0,0,0
NSE:MASTEK-EQ,0,0,0,0
NSE:MAXHEALTH-EQ,0,0,0,1
NSE:MAZDOCK-EQ,1,0,0,0
NSE:MCX-EQ,2,0,0,0
NSE:MEDANTA-EQ,0,0,0,0
NSE:MFSL-EQ,1,0,0,1
NSE:MIDCPNIFTY-INDEX,0,0,0,0
NSE:MOIL-EQ,0,0,0,0
NSE:MOREPENLAB-EQ,1,0,0,0
NSE:MOTHERSON-EQ,0,0,0,0
NSE:MPHASIS-EQ,1,0,0,0
NSE:MRF-EQ,1,0,0,0
NSE:MRPL-EQ,0,0,0,0
NSE:MUTHOOTFIN-EQ,0,0,0,0
NSE:NATCOPHARM-EQ,1,0,0,0
NSE:NAUKRI-EQ,0,0,0,0
NSE:NAZARA-EQ,2,0,0,0
NSE:NBCC-EQ,0,0,0,0
NSE:NCC-EQ,0,0,0,0
NSE:NDTV-EQ,2,0,0,0
NSE:NESCO-EQ,2,0,0,0
NSE:NESTLEIND-EQ,1,0,0,0
NSE:NETWORK18-EQ,0,0,0,0
NSE:NEULANDLAB-EQ,0,0,0,0
NSE:NHPC-EQ,2,0,0,0
NSE:NIFTY50-INDEX,0,0,1,0
NSE:NIFTYBANK-INDEX,0,0,0,0
NSE:NIFTYINFRA-INDEX,0,0,0,0
NSE:NIFTYIT-INDEX,1,0,0,0
NSE:NLCINDIA-EQ,0,0,0,0
NSE:NMDC-EQ,0,0,0,0
NSE:NTPC-EQ,0,0,0,0
NSE:NUVOCO-EQ,0,0,0,0
NSE:NYKAA-EQ,1,0,0,0
NSE:OBEROIRLTY-EQ,0,0,0,0
NSE:OCCL-EQ,0,0,0,0
NSE:OFSS-EQ,0,0,0,1
NSE:OIL-EQ,1,0,0,0
NSE:ONGC-EQ,0,0,0,0
NSE:ONMOBILE-EQ,1,0,0,0
NSE:ORIENTELEC-EQ,3,0,0,0
NSE:ORIENTPPR-EQ,1,0,0,0
NSE:PAGEIND-EQ,1,0,0,0
NSE:PARADEEP-EQ,0,0,0,0
NSE:PATANJALI-EQ,2,0,0,0
NSE:PAYTM-EQ,0,0,0,0
NSE:PEL-EQ,0,0,0,0
NSE:PERSISTENT-EQ,1,0,0,0
NSE:PETRONET-EQ,0,0,0,0
NSE:PFC-EQ,0,0,0,0
NSE:PGHH-EQ,0,0,0,1
NSE:PIDILITIND-EQ,1,0,0,0
NSE:PIIND-EQ,0,0,0,0
NSE:PNB-EQ,0,0,0,0
NSE:PNCINFRA-EQ,1,0,0,0
NSE:POLICYBZR-EQ,1,0,0,1
NSE:POLYCAB-EQ,2,0,0,0
NSE:POONAWALLA-EQ,2,0,0,0
NSE:POWERGRID-EQ,2,0,0,1
NSE:PRAJIND-EQ,0,0,0,0
NSE:PRESTIGE-EQ,0,0,0,0
